rok,kvartal,hdp,priemerna_mzda,minimalna_mzda,miera_nezamestanosti,min_mzda/priem_mzda,rocny_rast_hdp,HDP_lag1,HDP_lag2,u1,u2,u3,hdp_o
2015,2Q,20007.2,877.0,352.0,11.2,0.4013683010262258,4.833165660630457,2.3006496708763096,1.3522250050253322,0,1,0,"21556,00"
2015,3Q,21208.3,861.0,352.0,11.3,0.4088269454123113,4.872693827294788,2.745586180617307,1.063911724081276,0,0,1,"22842,80"
2015,4Q,20789.3,956.0,352.0,11.0,0.3682008368200837,5.948394922052181,3.1059849718879646,1.261579555068392,0,0,0,"22477,90"
2016,1Q,18776.9,867.0,380.0,10.4,0.4382929642445213,2.2066788231772114,4.191124344250674,2.0777371248610685,1,0,0,"20392,10"
2016,2Q,20430.9,901.0,380.0,9.6,0.4217536071032186,2.1177376144587985,4.833165660630457,2.3006496708763096,0,1,0,"22091,10"
2016,3Q,21336.1,889.0,380.0,9.5,0.4274465691788526,0.6025942673387271,4.872693827294788,2.745586180617307,0,0,1,"23106,00"
2016,4Q,21077.6,990.0,380.0,9.1,0.3838383838383838,1.3867710793533177,5.948394922052181,3.1059849718879646,0,0,0,"22842,60"
2017,1Q,19315.3,897.0,405.0,8.7,0.451505016722408,2.8673529709376826,2.2066788231772114,4.191124344250674,1,0,0,"20781,60"
2017,2Q,21247.2,944.0,405.0,8.1,0.4290254237288136,3.9954187040218456,2.1177376144587985,4.833165660630457,0,1,0,"22785,50"
2017,3Q,22330.4,935.0,405.0,8.0,0.4331550802139037,4.660176883310459,0.6025942673387271,4.872693827294788,0,0,1,"23762,70"
2017,4Q,22067.5,1041.0,405.0,7.7,0.3890489913544668,4.696455004364831,1.3867710793533177,5.948394922052181,0,0,0,"23644,30"
2018,1Q,20466.3,955.0,435.0,7.1,0.4554973821989528,5.959006590630226,2.8673529709376826,2.2066788231772114,1,0,0,"21575,20"
2018,2Q,22663.5,1004.0,435.0,6.6,0.4332669322709163,6.665819496215969,3.9954187040218456,2.1177376144587985,0,1,0,"23776,00"
2018,3Q,23898.2,992.0,435.0,6.4,0.438508064516129,7.02092215096908,4.660176883310459,0.6025942673387271,0,0,1,"24858,40"
2018,4Q,23247.8,1101.0,435.0,6.1,0.3950953678474114,5.348589554775119,4.696455004364831,1.3867710793533177,0,0,0,"24459,80"
2019,1Q,21788.3,1023.0,480.0,5.8,0.469208211143695,6.459399109756038,5.959006590630226,2.8673529709376826,1,0,0,"22367,80"
2019,2Q,23733.4,1101.0,480.0,5.7,0.4359673024523161,4.72080658327267,6.665819496215969,3.9954187040218456,0,1,0,"24315,90"
2019,3Q,24690.5,1068.0,480.0,5.9,0.449438202247191,3.315312450310062,7.02092215096908,4.660176883310459,0,0,1,"25207,50"
2019,4Q,24335.3,1177.0,480.0,5.6,0.4078164825828377,4.677861991242182,5.348589554775119,4.696455004364831,0,0,0,"24932,80"
2020,1Q,22171.1,1086.0,520.0,6.0,0.4788213627992633,1.756906229490136,6.459399109756038,5.959006590630226,1,0,0,"22062,10"
2020,2Q,22057.8,1088.0,520.0,6.6,0.4779411764705882,-7.060092527829987,4.72080658327267,6.665819496215969,0,1,0,"22154,30"
2020,3Q,25177.2,1113.0,520.0,7.2,0.4672057502246181,1.9712034993216043,3.315312450310062,7.02092215096908,0,0,1,"25158,90"
2020,4Q,24914.5,1245.0,520.0,7.0,0.4176706827309236,2.3800816098424957,4.677861991242182,5.348589554775119,0,0,0,"24945,20"
2021,1Q,22862.7,1124.0,580.0,7.1,0.5160142348754448,3.119376124775055,1.756906229490136,6.459399109756038,1,0,0,"22634,50"
2021,2Q,25316.4,1202.0,580.0,6.9,0.4825291181364393,14.7730054674537,-7.060092527829987,4.72080658327267,0,1,0,"24967,80"
2021,3Q,26915.7,1185.0,580.0,6.8,0.4894514767932489,6.90505695629379,1.9712034993216043,3.315312450310062,0,0,1,"26159,50"
2021,4Q,26838.8,1331.0,580.0,6.6,0.4357625845229151,7.723614762487704,2.3800816098424957,4.677861991242182,0,0,0,"25934,70"
2022,1Q,24643.8,1212.0,623.0,6.4,0.514026402640264,7.79041845451324,3.119376124775055,1.756906229490136,1,0,0,"23035,50"
2022,2Q,27364.5,1291.0,623.0,6.1,0.482571649883811,8.09001279802815,14.7730054674537,-7.060092527829987,0,1,0,"24991,60"
2022,3Q,29090.1,1296.0,623.0,6.0,0.4807098765432099,8.078556381591405,6.90505695629379,1.9712034993216043,0,0,1,"26200,90"
2022,4Q,28948.1,1418.0,623.0,6.1,0.4393511988716502,7.85914422403386,7.723614762487704,2.3800816098424957,0,0,0,"25904,50"
2023,1Q,27798.4,1327.0,646.0,6.2,0.4868123587038432,12.80078559313094,7.79041845451324,3.119376124775055,1,0,0,"23221,70"
2023,2Q,30721.4,1419.0,646.0,5.7,0.4552501761804087,12.267353688172635,8.09001279802815,14.7730054674537,0,1,0,"25605,30"
2023,3Q,32780.5,1403.0,646.0,5.9,0.4604419101924447,12.686102832235028,8.078556381591405,6.90505695629379,0,0,1,"26894,70"
2023,4Q,32533.0,1569.0,646.0,5.6,0.4117272147864882,12.383887025400636,7.85914422403386,7.723614762487704,0,0,0,"26581,80"
2024,1Q,30209.2,1447.0,700.0,5.6,0.4837595024187975,8.672441579371473,12.80078559313094,7.79041845451324,1,0,0,"23988,80"
2024,2Q,32767.5,1520.0,700.0,5.2,0.4605263157894737,6.6601782470850885,12.267353688172635,8.09001279802815,0,1,0,"26131,60"
2024,3Q,33987.1,1484.0,700.0,5.4,0.4716981132075472,3.680846844923044,12.686102832235028,8.078556381591405,0,0,1,"27267,80"
2024,4Q,34021.3,1643.0,700.0,5.2,0.426049908703591,4.574739495281723,12.383887025400636,7.85914422403386,0,0,0,"27024,50"
